in1,gid,provincia,departamen,nam
06623,237,Buenos Aires,Pergamino,Pergamino
06854,295,Buenos Aires,25 de Mayo,25 de Mayo
06588,296,Buenos Aires,9 de Julio,9 de Julio
06007,297,Buenos Aires,Adolfo Alsina,Adolfo Alsina
06014,298,Buenos Aires,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves
06021,299,Buenos Aires,Alberti,Alberti
06028,300,Buenos Aires,Almirante Brown,Almirante Brown
06077,301,Buenos Aires,Arrecifes,Arrecifes
06035,302,Buenos Aires,Avellaneda,Avellaneda
06042,303,Buenos Aires,Ayacucho,Ayacucho
06049,304,Buenos Aires,Azul,Azul
06056,305,Buenos Aires,Bahia Blanca,Bahía Blanca
06063,306,Buenos Aires,Balcarce,Balcarce
06070,307,Buenos Aires,Baradero,Baradero
06084,308,Buenos Aires,Benito Juarez,Benito Juárez
06091,309,Buenos Aires,Berazategui,Berazategui
06098,310,Buenos Aires,Berisso,Berisso
06105,311,Buenos Aires,Bolivar,Bolívar
06112,312,Buenos Aires,Bragado,Bragado
06119,313,Buenos Aires,Brandsen,Brandsen
06126,314,Buenos Aires,Campana,Campana
06134,315,Buenos Aires,Cañuelas,Cañuelas
06140,316,Buenos Aires,Capitan Sarmiento,Capitán Sarmiento
06147,317,Buenos Aires,Carlos Casares,Carlos Casares
06154,318,Buenos Aires,Carlos Tejedor,Carlos Tejedor
06161,319,Buenos Aires,Carmen de Areco,Carmen de Areco
06168,320,Buenos Aires,Castelli,Castelli
06210,321,Buenos Aires,Chacabuco,Chacabuco
06218,322,Buenos Aires,Lezama,Chascomús
06224,323,Buenos Aires,Chivilcoy,Chivilcoy
06182,339,Buenos Aires,Coronel de Marina L. Rosales,Coronel de Marina Leonardo Rosales
06189,340,Buenos Aires,Coronel Dorrego,Coronel Dorrego
06196,341,Buenos Aires,Coronel Pringles,Coronel Pringles
06203,342,Buenos Aires,Coronel Suarez,Coronel Suárez
06231,343,Buenos Aires,Daireaux,Daireaux
06238,344,Buenos Aires,Dolores,Dolores
06245,345,Buenos Aires,Ensenada,Ensenada
06252,346,Buenos Aires,Escobar,Escobar
06260,347,Buenos Aires,Esteban Echeverria,Esteban Echeverría
06266,348,Buenos Aires,Exaltacion de la Cruz,Exaltación de la Cruz
06270,349,Buenos Aires,Ezeiza,Ezeiza
06274,350,Buenos Aires,Florencio Varela,Florencio Varela
06277,351,Buenos Aires,Florentino Ameghino,Florentino Ameghino
06280,352,Buenos Aires,General Alvarado,General Alvarado
06287,353,Buenos Aires,General Alvear,General Alvear
06301,354,Buenos Aires,General Belgrano,General Belgrano
06308,355,Buenos Aires,General Guido,General Guido
06315,356,Buenos Aires,General Juan Madariaga,General Juan Madariaga
06322,357,Buenos Aires,General Lamadrid,General La Madrid
06329,358,Buenos Aires,General Las Heras,General Las Heras
