,PROV_,DEPTO_,FRACC_,COD_2010,IN1,NAM
0,02,013,03,020130302,02091,Comuna 13
1,02,013,11,020131101,02091,Comuna 13
2,02,013,01,020130104,02091,Comuna 13
3,02,013,01,020130103,02091,Comuna 13
4,02,013,01,020130102,02091,Comuna 13
5,02,013,01,020130105,02091,Comuna 13
6,02,013,01,020130101,02091,Comuna 13
7,02,012,04,020120405,02084,Comuna 12
8,02,013,01,020130110,02091,Comuna 13
9,02,013,01,020130107,02091,Comuna 13
10,02,013,01,020130106,02091,Comuna 13
11,02,013,01,020130109,02091,Comuna 13
12,02,013,01,020130111,02091,Comuna 13
13,02,012,04,020120407,02084,Comuna 12
14,02,012,04,020120404,02084,Comuna 12
15,02,013,01,020130108,02091,Comuna 13
16,02,012,04,020120402,02084,Comuna 12
17,02,012,04,020120401,02084,Comuna 12
18,02,013,01,020130112,02091,Comuna 13
19,02,012,03,020120303,02084,Comuna 12
20,02,013,02,020130205,02091,Comuna 13
21,02,012,04,020120406,02084,Comuna 12
22,02,013,01,020130113,02091,Comuna 13
23,02,013,02,020130204,02091,Comuna 13
24,02,013,02,020130211,02091,Comuna 13
25,02,012,04,020120403,02084,Comuna 12
26,02,012,03,020120302,02084,Comuna 12
27,02,013,02,020130202,02091,Comuna 13
28,02,013,01,020130114,02091,Comuna 13
29,02,012,03,020120301,02084,Comuna 12
30,02,012,04,020120408,02084,Comuna 12
31,02,013,02,020130206,02091,Comuna 13
32,02,012,03,020120304,02084,Comuna 12
33,02,013,02,020130207,02091,Comuna 13
34,02,013,02,020130201,02091,Comuna 13
35,02,012,01,020120107,02084,Comuna 12
36,02,012,05,020120505,02084,Comuna 12
37,02,013,02,020130210,02091,Comuna 13
38,02,012,01,020120108,02084,Comuna 12
39,02,012,01,020120106,02084,Comuna 12
40,02,013,02,020130203,02091,Comuna 13
41,02,012,05,020120504,02084,Comuna 12
42,02,012,03,020120305,02084,Comuna 12
43,02,013,02,020130208,02091,Comuna 13
44,02,012,04,020120409,02084,Comuna 12
45,02,012,01,020120105,02084,Comuna 12
46,02,013,02,020130209,02091,Comuna 13
47,02,012,04,020120410,02084,Comuna 12
48,02,012,03,020120308,02084,Comuna 12
49,02,013,11,020131102,02091,Comuna 13
50,02,012,05,020120506,02084,Comuna 12
51,02,013,03,020130304,02091,Comuna 13
52,02,012,03,020120306,02084,Comuna 12
53,02,012,01,020120104,02084,Comuna 12
54,02,012,05,020120503,02084,Comuna 12
55,02,013,03,020130301,02091,Comuna 13
56,02,013,03,020130303,02091,Comuna 13
57,02,012,03,020120309,02084,Comuna 12
58,02,012,05,020120502,02084,Comuna 12
59,02,012,05,020120501,02084,Comuna 12
60,02,013,04,020130402,02091,Comuna 13
61,02,012,03,020120310,02084,Comuna 12
62,02,012,03,020120307,02084,Comuna 12
63,02,013,04,020130401,02091,Comuna 13
64,02,013,03,020130305,02091,Comuna 13
65,02,012,01,020120109,02084,Comuna 12
66,02,013,04,020130403,02091,Comuna 13
67,02,012,05,020120507,02084,Comuna 12
